record_id,parking_lot_id,zone,slot_id,entry_time,exit_time,day_of_week,is_weekend,vehicle_type
80,PL04,A,A27,2024-04-04 19:56:00,2024-04-04 22:18:00,Thursday,0,EV
81,PL02,A,A23,2024-12-28 09:52:00,2024-12-28 12:45:00,Saturday,1,Bike
82,PL01,B,B13,2024-08-10 08:53:00,2024-08-10 11:17:00,Saturday,1,EV
83,PL04,D,D41,2024-08-03 06:47:00,2024-08-03 08:21:00,Saturday,1,SUV
84,PL02,D,D30,2024-04-15 11:24:00,2024-04-15 12:12:00,Monday,0,Car
85,PL02,B,B8,2024-06-04 21:24:00,2024-06-05 00:22:00,Tuesday,0,SUV
86,PL02,D,D10,2024-03-26 21:02:00,2024-03-26 23:06:00,Tuesday,0,Car
87,PL04,A,A15,2024-05-01 15:53:00,2024-05-01 17:43:00,Wednesday,0,Car
88,PL02,D,D7,2024-11-20 09:52:00,2024-11-20 13:45:00,Wednesday,0,SUV
89,PL02,C,C36,2024-05-06 06:01:00,2024-05-06 09:43:00,Monday,0,SUV
90,PL02,C,C45,2024-09-13 17:19:00,2024-09-13 21:12:00,Friday,0,SUV
91,PL04,B,B17,2024-02-06 06:37:00,2024-02-06 08:52:00,Tuesday,0,Bike
92,PL02,A,A15,2024-09-07 11:02:00,2024-09-07 13:34:00,Saturday,1,EV
93,PL01,B,B24,2024-09-23 08:59:00,2024-09-23 09:57:00,Monday,0,SUV
94,PL02,C,C2,2024-05-29 12:08:00,2024-05-29 13:57:00,Wednesday,0,EV
95,PL03,C,C3,2024-01-26 06:18:00,2024-01-26 07:19:00,Friday,0,SUV
96,PL01,A,A13,2024-04-07 22:18:00,2024-04-07 23:27:00,Sunday,1,SUV
97,PL03,D,D50,2024-04-13 10:41:00,2024-04-13 14:34:00,Saturday,1,SUV
98,PL02,A,A18,2024-05-18 08:33:00,2024-05-18 10:25:00,Saturday,1,Bike
99,PL03,D,D9,2024-02-07 12:35:00,2024-02-07 14:37:00,Wednesday,0,SUV
100,PL01,A,A17,2024-10-07 12:30:00,2024-10-07 16:08:00,Monday,0,Car
101,PL04,D,D39,2024-08-15 06:24:00,2024-08-15 10:10:00,Thursday,0,EV
102,PL02,A,A21,2024-05-01 16:04:00,2024-05-01 17:31:00,Wednesday,0,Bike
103,PL01,D,D24,2024-03-16 16:29:00,2024-03-16 18:29:00,Saturday,1,Bike
104,PL03,B,B9,2024-03-26 09:24:00,2024-03-26 13:23:00,Tuesday,0,SUV
105,PL01,C,C8,2024-07-11 11:05:00,2024-07-11 13:50:00,Thursday,0,SUV
106,PL03,A,A36,2024-07-20 07:24:00,2024-07-20 10:22:00,Saturday,1,SUV
107,PL03,B,B2,2024-09-09 20:31:00,2024-09-09 22:47:00,Monday,0,SUV
108,PL02,A,A23,2024-08-16 06:00:00,2024-08-16 08:18:00,Friday,0,Car
109,PL04,C,C17,2024-07-30 17:56:00,2024-07-30 19:30:00,Tuesday,0,Car
110,PL01,D,D30,2024-05-08 15:37:00,2024-05-08 18:59:00,Wednesday,0,Car
111,PL01,B,B45,2024-02-25 13:30:00,2024-02-25 17:19:00,Sunday,1,SUV
112,PL04,A,A15,2024-06-29 16:14:00,2024-06-29 17:29:00,Saturday,1,Car
113,PL03,A,A30,2024-07-18 09:36:00,2024-07-18 11:06:00,Thursday,0,SUV
114,PL01,C,C28,2024-07-21 13:46:00,2024-07-21 14:46:00,Sunday,1,Bike
115,PL01,C,C45,2024-04-13 11:52:00,2024-04-13 15:28:00,Saturday,1,EV
116,PL04,C,C32,2024-03-20 06:35:00,2024-03-20 08:29:00,Wednesday,0,SUV
117,PL03,A,A32,2024-01-14 08:05:00,2024-01-14 09:14:00,Sunday,1,Bike
118,PL04,A,A4,2024-12-20 22:54:00,2024-12-21 00:56:00,Friday,0,Bike
119,PL02,A,A13,2024-12-25 06:18:00,2024-12-25 10:14:00,Wednesday,0,EV
120,PL01,D,D7,2024-02-10 13:27:00,2024-02-10 16:51:00,Saturday,1,EV
121,PL04,A,A24,2024-11-12 15:41:00,2024-11-12 16:41:00,Tuesday,0,SUV
122,PL04,C,C40,2024-12-23 12:22:00,2024-12-23 16:15:00,Monday,0,SUV
123,PL01,B,B19,2024-11-29 21:40:00,2024-11-30 01:19:00,Friday,0,SUV
124,PL01,A,A38,2024-11-12 15:23:00,2024-11-12 17:35:00,Tuesday,0,Bike
125,PL04,C,C10,2024-11-03 11:44:00,2024-11-03 13:20:00,Sunday,1,SUV
126,PL03,A,A33,2024-06-30 18:04:00,2024-06-30 20:49:00,Sunday,1,Bike
127,PL03,C,C1,2024-05-04 13:23:00,2024-05-04 17:11:00,Saturday,1,Bike
128,PL01,B,B27,2024-09-29 20:37:00,2024-09-29 22:04:00,Sunday,1,SUV
129,PL03,B,B2,2024-06-06 07:55:00,2024-06-06 11:36:00,Thursday,0,Bike
130,PL01,C,C41,2024-04-06 06:08:00,2024-04-06 09:16:00,Saturday,1,EV
131,PL02,C,C2,2024-02-09 13:32:00,2024-02-09 15:51:00,Friday,0,Bike
132,PL04,D,D36,2024-01-31 22:39:00,2024-02-01 01:56:00,Wednesday,0,EV
133,PL04,C,C30,2024-01-27 08:01:00,2024-01-27 09:38:00,Saturday,1,EV
134,PL02,C,C25,2024-03-04 08:13:00,2024-03-04 08:45:00,Monday,0,SUV
135,PL04,A,A14,2024-05-27 13:11:00,2024-05-27 16:50:00,Monday,0,Car
136,PL02,B,B48,2024-01-04 08:41:00,2024-01-04 10:24:00,Thursday,0,Car
137,PL04,D,D45,2024-08-05 10:34:00,2024-08-05 11:57:00,Monday,0,EV
138,PL03,B,B14,2024-03-04 17:13:00,2024-03-04 19:16:00,Monday,0,EV
139,PL03,B,B46,2024-09-29 21:45:00,2024-09-29 22:19:00,Sunday,1,Bike
140,PL01,A,A10,2024-12-28 10:30:00,2024-12-28 11:13:00,Saturday,1,Bike
141,PL02,C,C18,2024-04-27 15:11:00,2024-04-27 15:57:00,Saturday,1,Bike
142,PL03,A,A3,2024-11-20 12:03:00,2024-11-20 15:32:00,Wednesday,0,Car
143,PL01,B,B17,2024-08-16 16:30:00,2024-08-16 18:10:00,Friday,0,Car
144,PL04,C,C4,2024-05-14 19:15:00,2024-05-14 19:49:00,Tuesday,0,EV
145,PL03,B,B45,2024-04-01 17:21:00,2024-04-01 20:27:00,Monday,0,Bike
146,PL02,A,A29,2024-01-19 20:33:00,2024-01-19 22:22:00,Friday,0,SUV
147,PL03,B,B6,2024-08-22 08:38:00,2024-08-22 11:21:00,Thursday,0,EV
148,PL01,A,A6,2024-11-20 11:04:00,2024-11-20 13:43:00,Wednesday,0,SUV
149,PL04,B,B9,2024-06-06 06:13:00,2024-06-06 09:59:00,Thursday,0,Car
150,PL04,B,B1,2024-07-23 18:59:00,2024-07-23 19:32:00,Tuesday,0,SUV
151,PL03,A,A40,2024-05-17 14:15:00,2024-05-17 15:14:00,Friday,0,EV
152,PL02,B,B30,2024-11-05 09:34:00,2024-11-05 11:13:00,Tuesday,0,Car
153,PL04,D,D45,2024-07-16 22:03:00,2024-07-17 00:43:00,Tuesday,0,EV
154,PL03,B,B49,2024-01-30 08:12:00,2024-01-30 09:48:00,Tuesday,0,Bike
155,PL03,A,A12,2024-05-07 06:20:00,2024-05-07 07:42:00,Tuesday,0,SUV
156,PL02,A,A49,2024-05-13 15:12:00,2024-05-13 15:52:00,Monday,0,SUV
157,PL03,D,D32,2024-03-06 13:59:00,2024-03-06 17:33:00,Wednesday,0,SUV
158,PL01,A,A48,2024-12-24 22:31:00,2024-12-25 00:40:00,Tuesday,0,Bike
159,PL04,D,D40,2024-06-24 16:11:00,2024-06-24 19:37:00,Monday,0,Bike
160,PL02,A,A45,2024-04-06 18:35:00,2024-04-06 19:55:00,Saturday,1,Bike
161,PL01,C,C41,2024-09-02 13:11:00,2024-09-02 17:03:00,Monday,0,Bike
162,PL02,B,B46,2024-04-22 14:14:00,2024-04-22 16:12:00,Monday,0,EV
163,PL01,A,A30,2024-04-28 20:53:00,2024-04-29 00:11:00,Sunday,1,SUV
164,PL04,B,B24,2024-09-18 17:31:00,2024-09-18 19:17:00,Wednesday,0,SUV
165,PL03,B,B44,2024-03-19 19:25:00,2024-03-19 23:24:00,Tuesday,0,SUV
166,PL03,A,A15,2024-05-27 11:38:00,2024-05-27 12:25:00,Monday,0,Car
167,PL04,A,A37,2024-02-19 12:46:00,2024-02-19 15:44:00,Monday,0,Car
168,PL04,C,C39,2024-11-18 14:01:00,2024-11-18 15:12:00,Monday,0,Car
169,PL01,C,C36,2024-03-05 11:25:00,2024-03-05 14:28:00,Tuesday,0,Car
170,PL04,D,D32,2024-08-04 12:14:00,2024-08-04 16:07:00,Sunday,1,EV
171,PL04,C,C12,2024-01-29 19:30:00,2024-01-29 22:28:00,Monday,0,Bike
172,PL02,C,C36,2024-10-20 08:17:00,2024-10-20 08:58:00,Sunday,1,EV
173,PL03,B,B8,2024-03-13 19:30:00,2024-03-13 21:17:00,Wednesday,0,EV
174,PL03,D,D4,2024-04-15 19:49:00,2024-04-15 21:10:00,Monday,0,Bike
175,PL01,C,C1,2024-09-11 11:21:00,2024-09-11 14:39:00,Wednesday,0,Bike
176,PL03,B,B13,2024-03-03 10:31:00,2024-03-03 11:56:00,Sunday,1,SUV
177,PL03,C,C17,2024-11-12 16:15:00,2024-11-12 19:43:00,Tuesday,0,Bike
178,PL03,B,B11,2024-05-18 06:36:00,2024-05-18 08:09:00,Saturday,1,SUV
179,PL02,A,A24,2024-03-30 10:19:00,2024-03-30 11:24:00,Saturday,1,SUV
180,PL01,D,D29,2024-04-03 20:06:00,2024-04-03 23:01:00,Wednesday,0,SUV
181,PL04,B,B32,2024-09-22 19:49:00,2024-09-22 20:21:00,Sunday,1,SUV
182,PL03,D,D12,2024-12-01 14:39:00,2024-12-01 16:48:00,Sunday,1,Car
183,PL03,C,C22,2024-09-08 09:10:00,2024-09-08 11:24:00,Sunday,1,SUV
184,PL01,A,A19,2024-04-29 08:00:00,2024-04-29 08:55:00,Monday,0,SUV
185,PL04,C,C16,2024-03-11 13:52:00,2024-03-11 14:59:00,Monday,0,EV
186,PL01,A,A35,2024-04-26 12:09:00,2024-04-26 14:38:00,Friday,0,SUV
187,PL01,C,C44,2024-09-19 06:48:00,2024-09-19 08:17:00,Thursday,0,Bike
188,PL04,B,B39,2024-11-11 19:33:00,2024-11-11 20:43:00,Monday,0,Car
189,PL03,A,A12,2024-01-21 21:28:00,2024-01-21 22:40:00,Sunday,1,SUV
190,PL02,A,A43,2024-08-12 06:59:00,2024-08-12 10:37:00,Monday,0,SUV
191,PL03,B,B15,2024-08-23 20:35:00,2024-08-23 22:49:00,Friday,0,Car
192,PL03,B,B32,2024-06-24 17:19:00,2024-06-24 19:11:00,Monday,0,EV
193,PL04,C,C32,2024-09-17 20:03:00,2024-09-17 23:14:00,Tuesday,0,Bike
194,PL02,A,A9,2024-04-20 21:23:00,2024-04-20 23:48:00,Saturday,1,Car
195,PL01,A,A43,2024-03-07 12:40:00,2024-03-07 13:24:00,Thursday,0,SUV
196,PL01,C,C46,2024-10-28 08:46:00,2024-10-28 11:05:00,Monday,0,EV
197,PL01,D,D17,2024-09-03 19:58:00,2024-09-03 22:21:00,Tuesday,0,Car
198,PL03,A,A27,2024-04-25 22:05:00,2024-04-25 23:18:00,Thursday,0,Bike
199,PL02,B,B35,2024-05-09 20:23:00,2024-05-09 23:55:00,Thursday,0,SUV
200,PL01,A,A8,2024-10-06 06:47:00,2024-10-06 09:59:00,Sunday,1,EV
201,PL01,D,D11,2024-03-17 06:24:00,2024-03-17 10:06:00,Sunday,1,EV
202,PL04,A,A23,2024-07-04 15:31:00,2024-07-04 18:49:00,Thursday,0,Bike
203,PL02,A,A35,2024-03-24 13:31:00,2024-03-24 16:17:00,Sunday,1,SUV
204,PL03,B,B18,2024-04-20 19:47:00,2024-04-20 21:22:00,Saturday,1,Bike
205,PL04,B,B43,2024-08-12 12:09:00,2024-08-12 15:12:00,Monday,0,SUV
206,PL01,D,D9,2024-02-10 17:05:00,2024-02-10 17:41:00,Saturday,1,EV
207,PL01,B,B37,2024-11-18 13:28:00,2024-11-18 16:03:00,Monday,0,Bike
208,PL02,A,A49,2024-02-26 21:07:00,2024-02-27 01:01:00,Monday,0,EV
209,PL03,A,A11,2024-12-01 11:18:00,2024-12-01 12:15:00,Sunday,1,Car
210,PL01,D,D39,2024-06-10 21:10:00,2024-06-10 23:43:00,Monday,0,Bike
211,PL02,D,D30,2024-08-29 19:28:00,2024-08-29 22:34:00,Thursday,0,EV
212,PL01,A,A19,2024-09-30 10:23:00,2024-09-30 11:28:00,Monday,0,Car
213,PL03,C,C15,2024-01-15 19:17:00,2024-01-15 21:32:00,Monday,0,SUV
214,PL02,C,C12,2024-08-12 15:15:00,2024-08-12 16:58:00,Monday,0,SUV
215,PL01,A,A23,2024-01-03 12:22:00,2024-01-03 15:15:00,Wednesday,0,Car
216,PL04,C,C15,2024-03-29 15:00:00,2024-03-29 16:56:00,Friday,0,SUV
217,PL01,D,D49,2024-09-24 14:58:00,2024-09-24 18:30:00,Tuesday,0,Bike
218,PL03,D,D46,2024-07-26 19:05:00,2024-07-26 20:23:00,Friday,0,EV
219,PL03,A,A46,2024-11-20 09:24:00,2024-11-20 11:52:00,Wednesday,0,Car
220,PL04,B,B28,2024-05-04 13:09:00,2024-05-04 14:45:00,Saturday,1,SUV
221,PL02,B,B24,2024-03-03 10:13:00,2024-03-03 11:09:00,Sunday,1,EV
222,PL01,D,D29,2024-06-27 13:05:00,2024-06-27 15:44:00,Thursday,0,SUV
223,PL02,A,A34,2024-07-22 19:42:00,2024-07-22 21:15:00,Monday,0,Car
224,PL04,A,A20,2024-05-02 15:11:00,2024-05-02 15:43:00,Thursday,0,Bike
225,PL04,C,C34,2024-07-11 15:21:00,2024-07-11 16:48:00,Thursday,0,Car
226,PL04,C,C18,2024-01-22 19:42:00,2024-01-22 21:54:00,Monday,0,EV
227,PL04,B,B5,2024-01-17 08:42:00,2024-01-17 11:43:00,Wednesday,0,EV
228,PL01,B,B1,2024-09-20 20:22:00,2024-09-20 23:44:00,Friday,0,Bike
229,PL03,D,D18,2024-01-31 13:05:00,2024-01-31 14:04:00,Wednesday,0,SUV
230,PL03,B,B4,2024-04-26 20:19:00,2024-04-26 22:03:00,Friday,0,EV
231,PL03,A,A25,2024-11-20 13:45:00,2024-11-20 17:27:00,Wednesday,0,EV
232,PL02,D,D49,2024-08-11 21:47:00,2024-08-12 01:25:00,Sunday,1,SUV
233,PL04,B,B27,2024-02-22 15:51:00,2024-02-22 16:38:00,Thursday,0,Bike
234,PL01,D,D26,2024-06-24 08:49:00,2024-06-24 09:56:00,Monday,0,Car
235,PL03,A,A9,2024-08-31 14:22:00,2024-08-31 15:59:00,Saturday,1,SUV
236,PL04,C,C39,2024-01-04 12:41:00,2024-01-04 15:55:00,Thursday,0,SUV
237,PL03,B,B11,2024-04-19 17:32:00,2024-04-19 18:07:00,Friday,0,Car
238,PL04,C,C29,2024-04-25 08:39:00,2024-04-25 10:11:00,Thursday,0,Car
239,PL01,B,B40,2024-10-17 14:42:00,2024-10-17 15:49:00,Thursday,0,EV
240,PL04,B,B23,2024-01-21 22:05:00,2024-01-21 23:28:00,Sunday,1,Bike
241,PL04,B,B22,2024-07-11 17:22:00,2024-07-11 20:41:00,Thursday,0,SUV
242,PL04,C,C12,2024-12-17 14:14:00,2024-12-17 15:23:00,Tuesday,0,Bike
243,PL03,B,B43,2024-07-30 09:39:00,2024-07-30 12:16:00,Tuesday,0,Bike
244,PL03,A,A30,2024-07-06 10:42:00,2024-07-06 13:21:00,Saturday,1,Bike
245,PL01,B,B2,2024-03-02 13:53:00,2024-03-02 17:39:00,Saturday,1,Bike
246,PL01,D,D25,2024-11-01 17:13:00,2024-11-01 19:01:00,Friday,0,EV
247,PL03,A,A27,2024-06-12 17:53:00,2024-06-12 21:33:00,Wednesday,0,SUV
248,PL02,C,C29,2024-04-13 08:13:00,2024-04-13 09:54:00,Saturday,1,SUV
249,PL02,C,C36,2024-05-29 09:16:00,2024-05-29 11:07:00,Wednesday,0,Bike
250,PL03,A,A14,2024-09-01 17:52:00,2024-09-01 20:52:00,Sunday,1,Car
251,PL04,D,D46,2024-01-08 19:10:00,2024-01-08 20:17:00,Monday,0,Bike
252,PL03,A,A5,2024-12-26 12:00:00,2024-12-26 14:47:00,Thursday,0,Car
253,PL04,B,B33,2024-01-09 09:35:00,2024-01-09 10:35:00,Tuesday,0,Bike
254,PL03,D,D3,2024-07-05 10:55:00,2024-07-05 12:44:00,Friday,0,Bike
255,PL02,C,C1,2024-01-30 08:41:00,2024-01-30 09:52:00,Tuesday,0,Car
256,PL01,D,D34,2024-11-29 21:06:00,2024-11-29 23:29:00,Friday,0,EV
257,PL04,C,C36,2024-08-10 10:42:00,2024-08-10 13:38:00,Saturday,1,SUV
258,PL03,D,D24,2024-09-06 17:31:00,2024-09-06 20:13:00,Friday,0,Bike
259,PL02,C,C38,2024-07-24 16:22:00,2024-07-24 18:33:00,Wednesday,0,SUV
260,PL01,D,D12,2024-08-09 12:24:00,2024-08-09 16:18:00,Friday,0,Bike
261,PL02,C,C34,2024-07-07 19:00:00,2024-07-07 21:37:00,Sunday,1,Bike
262,PL02,A,A48,2024-06-14 18:50:00,2024-06-14 22:49:00,Friday,0,EV
263,PL03,D,D46,2024-05-28 21:57:00,2024-05-28 23:32:00,Tuesday,0,Car
264,PL04,C,C18,2024-10-12 10:51:00,2024-10-12 13:07:00,Saturday,1,Bike
265,PL04,D,D38,2024-06-03 06:39:00,2024-06-03 09:39:00,Monday,0,Bike
266,PL01,C,C31,2024-01-12 12:33:00,2024-01-12 13:26:00,Friday,0,Bike
267,PL02,A,A50,2024-06-26 13:22:00,2024-06-26 17:13:00,Wednesday,0,EV
268,PL02,D,D5,2024-04-13 11:18:00,2024-04-13 13:03:00,Saturday,1,EV
269,PL02,C,C26,2024-09-02 09:20:00,2024-09-02 11:52:00,Monday,0,Car
270,PL01,D,D37,2024-04-23 06:14:00,2024-04-23 07:23:00,Tuesday,0,SUV
271,PL04,B,B32,2024-10-28 16:01:00,2024-10-28 18:30:00,Monday,0,EV
272,PL03,C,C13,2024-03-22 06:37:00,2024-03-22 10:37:00,Friday,0,EV
273,PL01,B,B25,2024-05-08 12:36:00,2024-05-08 14:05:00,Wednesday,0,Bike
274,PL04,A,A31,2024-05-26 16:42:00,2024-05-26 17:27:00,Sunday,1,Bike
275,PL02,C,C23,2024-04-13 19:44:00,2024-04-13 20:24:00,Saturday,1,Bike
276,PL02,C,C48,2024-07-05 11:46:00,2024-07-05 14:31:00,Friday,0,EV
277,PL03,B,B30,2024-05-18 17:02:00,2024-05-18 19:04:00,Saturday,1,EV
278,PL01,D,D36,2024-08-14 19:06:00,2024-08-14 23:05:00,Wednesday,0,Car
279,PL02,D,D24,2024-05-09 07:01:00,2024-05-09 07:40:00,Thursday,0,Car
280,PL03,D,D35,2024-10-28 16:20:00,2024-10-28 17:19:00,Monday,0,Bike
281,PL02,D,D11,2024-04-30 09:20:00,2024-04-30 11:49:00,Tuesday,0,EV
282,PL01,A,A44,2024-10-17 21:07:00,2024-10-17 22:05:00,Thursday,0,EV
283,PL01,B,B19,2024-08-24 11:55:00,2024-08-24 13:13:00,Saturday,1,Car
284,PL04,D,D37,2024-11-15 09:02:00,2024-11-15 11:38:00,Friday,0,Bike
285,PL03,D,D16,2024-06-02 14:16:00,2024-06-02 16:45:00,Sunday,1,Car
286,PL03,A,A6,2024-01-19 21:50:00,2024-01-20 01:28:00,Friday,0,Car
287,PL03,D,D1,2024-10-20 19:58:00,2024-10-20 23:06:00,Sunday,1,Car
288,PL01,A,A16,2024-10-04 15:10:00,2024-10-04 17:51:00,Friday,0,Car
289,PL02,C,C11,2024-02-26 15:52:00,2024-02-26 16:37:00,Monday,0,SUV
290,PL04,A,A11,2024-02-28 20:24:00,2024-02-28 22:44:00,Wednesday,0,Car
291,PL02,D,D48,2024-08-09 20:33:00,2024-08-09 21:36:00,Friday,0,EV
292,PL01,D,D6,2024-01-05 13:27:00,2024-01-05 16:38:00,Friday,0,Bike
